"product_category_name_english","revenue_period1","revenue_period2","growth_pct"
"health_beauty",334869.85,894687.65,167.2
"watches_gifts",310761.45,852704.46,174.4
"bed_bath_table",352558.13,670397.64,90.2
"sports_leisure",314265.42,638574.98,103.2
"computers_accessories",284681.30,603374.29,111.9
"furniture_decor",231423.24,474813.93,105.2
"housewares",163359.78,450981.84,176.1
"cool_stuff",288202.07,320955.93,11.4
"auto",160793.64,417044.75,159.4
"garden_tools",185878.33,283257.07,52.4
"toys",181380.89,285799.09,57.6
"baby",107728.21,291322.46,170.4
"perfumery",152882.48,232433.07,52.0
"telephony",96610.19,213021.75,120.5
"office_furniture",101671.51,165181.92,62.5
"stationery",50273.65,173515.04,245.1
"computers",129771.80,88912.34,-31.5
"pet_shop",65861.79,145144.17,120.4
"musical_instruments",51888.07,132427.67,155.2
"small_appliances",82518.49,100235.63,21.5
"electronics",36688.74,118247.20,222.3
"fashion_bags_accessories",56503.67,92441.52,63.6
"consoles_games",62229.64,82154.37,32.0
"construction_tools_construction",6397.97,135710.52,2021.1
"luggage_accessories",60818.34,77883.29,28.1
"home_appliances_2",14206.00,93747.95,559.9
